2026-02-16T19:00:59.264Z,5000000,paper_trades.2026-02-16T190059263Z.bak
2026-02-16T19:01:29.624Z,5000000,paper_trades.2026-02-16T190129623Z.bak
2026-02-16T19:01:39.148Z,20000000,paper_trades.2026-02-16T190139147Z.bak
2026-02-16T19:04:41.838Z,20000000,paper_trades.2026-02-16T190441837Z.bak
2026-02-16T19:04:50.535Z,20000000,paper_trades.2026-02-16T190450534Z.bak
2026-02-16T19:06:54.538Z,20000000,paper_trades.2026-02-16T190654538Z.bak
2026-02-16T19:10:22.234Z,20000000,set_initial
2026-02-17T00:41:49.468Z,200000000,paper_trades.2026-02-17T004149466Z.bak
2026-02-17T07:55:11.540Z,5000000,paper_trades.2026-02-17T075511539Z.bak
2026-02-17T08:01:20.784Z,5000000,paper_trades.2026-02-17T080120783Z.bak
2026-02-17T08:01:20.799Z,5000000,paper_trades.2026-02-17T080120799Z.bak
2026-02-17T18:07:29.436Z,20000000,set_initial
2026-02-17T18:18:34.174Z,20000000,paper_trades.2026-02-17T181834174Z.bak
2026-02-18T03:38:34.379Z,20000000,paper_trades.2026-02-18T033834378Z.bak
