ts,pair,side,price,qty,cash
2026-02-16T17:01:03.998039,BTC_KRW,buy,100606000.0,0.00024849412559887086,25000.0
2026-02-16T17:03:06.483461,BTC_KRW,buy,100755000.0,0.012406332191950772,3750000.0
